unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location
58918107,2023-09-26T00:08:43.000,2023-09-26T01:08:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10451,828 GERARD AVENUE,GERARD AVENUE,EAST  157 STREET,EAST  158 STREET,EAST  157 STREET,EAST  158 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T01:08:07.000,04 BRONX,2024740010,BRONX,1004804,240268,MOBILE,Unspecified,BRONX,40.826131766279985,-73.92573246501276,"{'latitude': '40.826131766279985', 'longitude': '-73.92573246501276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58934490,2023-09-26T00:08:00.000,2023-09-26T18:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,67 WALL STREET,WALL STREET,HANOVER ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:28:00.000,01 MANHATTAN,1000270017,MANHATTAN,981866,196281,ONLINE,Unspecified,MANHATTAN,40.70542244442376,-74.0085984809701,"{'latitude': '40.70542244442376', 'longitude': '-74.0085984809701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
58926813,2023-09-26T00:08:00.000,2023-09-26T18:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10005,67 WALL STREET,WALL STREET,HANOVER ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:28:00.000,01 MANHATTAN,1000270017,MANHATTAN,981866,196281,ONLINE,Unspecified,MANHATTAN,40.70542244442376,-74.0085984809701,"{'latitude': '40.70542244442376', 'longitude': '-74.0085984809701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
58923606,2023-09-26T00:08:00.000,,DOT,Department of Transportation,Street Light Condition,Lamppost Knocked Down,,11691,312 BEACH   19 STREET,BEACH   19 STREET,BROOKHAVEN AVE,PLAINVIEW AVE,,,ADDRESS,FAR ROCKAWAY,,Open,,,14 QUEENS,4156330025,QUEENS,1052883,157335,UNKNOWN,Unspecified,QUEENS,40.59825873950702,-73.75285521482665,"{'latitude': '40.59825873950702', 'longitude': '-73.75285521482665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924555,2023-09-26T00:07:56.000,2023-09-26T00:22:07.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10469,1650 MACE AVENUE,MACE AVENUE,TIEMANN AVENUE,LODOVICK AVENUE,TIEMANN AVENUE,LODOVICK AVENUE,ADDRESS,BRONX,MACE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T00:22:11.000,11 BRONX,2044890027,BRONX,1029098,253604,ONLINE,Unspecified,BRONX,40.86264516963058,-73.83786218543521,"{'latitude': '40.86264516963058', 'longitude': '-73.83786218543521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58923674,2023-09-26T00:07:22.000,2023-09-26T00:58:26.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11215,300 8 AVENUE,8 AVENUE,3 STREET,4 STREET,3 STREET,4 STREET,ADDRESS,BROOKLYN,8 AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-26T00:58:32.000,06 BROOKLYN,3010800035,BROOKLYN,990829,183117,MOBILE,Unspecified,BROOKLYN,40.66928816001487,-73.97628407712787,"{'latitude': '40.66928816001487', 'longitude': '-73.97628407712787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58920276,2023-09-26T00:06:42.000,2023-09-26T00:37:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11218,DITMAS AVENUE,DITMAS AVENUE,DITMAS AVENUE,EAST    8 STREET,DITMAS AVENUE,EAST    8 STREET,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T00:37:16.000,12 BROOKLYN,,BROOKLYN,992496,171138,ONLINE,Unspecified,BROOKLYN,40.636407022988955,-73.97028953623904,"{'latitude': '40.636407022988955', 'longitude': '-73.97028953623904', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58918584,2023-09-26T00:06:16.000,2023-09-26T02:20:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11369,32 AVENUE,32 AVENUE,86 STREET,87 STREET,86 STREET,87 STREET,BLOCKFACE,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T02:21:04.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,,,,,
58919646,2023-09-26T00:06:04.000,2023-09-26T06:14:34.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11102,30-60 29 STREET,29 STREET,30 ROAD,30 DRIVE,30 ROAD,30 DRIVE,ADDRESS,ASTORIA,29 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T06:14:38.000,01 QUEENS,4005770056,QUEENS,1005269,218457,PHONE,Unspecified,QUEENS,40.766265421758774,-73.92412055379155,"{'latitude': '40.766265421758774', 'longitude': '-73.92412055379155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924884,2023-09-26T00:06:04.000,2023-09-26T00:34:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10003,64 COOPER SQUARE,COOPER SQUARE,EAST    7 STREET,ASTOR PLACE,EAST    7 STREET,ASTOR PLACE,ADDRESS,NEW YORK,COOPER SQUARE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T00:34:17.000,02 MANHATTAN,1005447502,MANHATTAN,986768,204956,ONLINE,Unspecified,MANHATTAN,40.72923320088955,-73.99091497010656,"{'latitude': '40.72923320088955', 'longitude': '-73.99091497010656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
