unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,due_date,vehicle_type,road_ramp,taxi_company_borough
58922085,2023-09-25T17:55:01.000,2023-09-26T11:38:28.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10016,309 EAST   37 STREET,EAST   37 STREET,2 AVENUE,QUEENS MIDTOWN TUNNEL APPROACH,2 AVENUE,QUEENS MIDTOWN TUNNEL APPROACH,ADDRESS,NEW YORK,EAST   37 STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-26T11:38:32.000,06 MANHATTAN,1009430007,MANHATTAN,991448,211246,MOBILE,Unspecified,MANHATTAN,40.746495122329634,-73.97402264096368,"{'latitude': '40.746495122329634', 'longitude': '-73.97402264096368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58918049,2023-09-25T17:54:59.000,2023-09-25T18:31:44.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3042 AVENUE V,AVENUE V,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,ADDRESS,BROOKLYN,AVENUE V,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T18:31:47.000,15 BROOKLYN,3073890001,BROOKLYN,1001769,157438,MOBILE,Unspecified,BROOKLYN,40.59878988925375,-73.93691433327626,"{'latitude': '40.59878988925375', 'longitude': '-73.93691433327626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58920671,2023-09-25T17:54:38.000,2023-09-28T06:15:21.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Trunk Split,Street,10463,636 WEST  230 STREET,WEST  230 STREET,ARLINGTON AVENUE,FAIRFIELD AVENUE,ARLINGTON AVENUE,FAIRFIELD AVENUE,ADDRESS,BRONX,WEST  230 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-28T06:15:24.000,08 BRONX,2057310866,BRONX,1007832,260591,ONLINE,Unspecified,BRONX,40.88190475518765,-73.91471994307992,"{'latitude': '40.88190475518765', 'longitude': '-73.91471994307992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58923585,2023-09-25T17:54:13.000,2023-09-25T18:15:09.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11226,321 LINDEN BOULEVARD,LINDEN BOULEVARD,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T18:15:13.000,17 BROOKLYN,3048530080,BROOKLYN,998779,177100,PHONE,Unspecified,BROOKLYN,40.65276334802596,-73.9476389553184,"{'latitude': '40.65276334802596', 'longitude': '-73.9476389553184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58922561,2023-09-25T17:54:04.000,2023-09-25T18:31:40.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,3042 AVENUE V,AVENUE V,FORD STREET,COYLE STREET,FORD STREET,COYLE STREET,ADDRESS,BROOKLYN,AVENUE V,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T18:31:43.000,15 BROOKLYN,3073890001,BROOKLYN,1001769,157438,MOBILE,Unspecified,BROOKLYN,40.59878988925375,-73.93691433327626,"{'latitude': '40.59878988925375', 'longitude': '-73.93691433327626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58923897,2023-09-25T17:54:02.000,2023-09-28T20:20:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10459,861 EAST  163 STREET,EAST  163 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,02 BRONX,2026900173,BRONX,1011915,238767,PHONE,Unspecified,BRONX,40.82199253977825,-73.90004457753085,"{'latitude': '40.82199253977825', 'longitude': '-73.90004457753085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58920473,2023-09-25T17:54:02.000,2023-10-03T20:35:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10459,861 EAST  163 STREET,EAST  163 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,02 BRONX,2026900173,BRONX,1011915,238767,PHONE,Unspecified,BRONX,40.82199253977825,-73.90004457753085,"{'latitude': '40.82199253977825', 'longitude': '-73.90004457753085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58922810,2023-09-25T17:54:02.000,2023-09-28T20:20:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10459,861 EAST  163 STREET,EAST  163 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,02 BRONX,2026900173,BRONX,1011915,238767,PHONE,Unspecified,BRONX,40.82199253977825,-73.90004457753085,"{'latitude': '40.82199253977825', 'longitude': '-73.90004457753085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58920551,2023-09-25T17:54:01.000,2023-10-04T18:09:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10453,1683 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,05 BRONX,2028780100,BRONX,1006983,248523,ONLINE,Unspecified,BRONX,40.84878399818367,-73.91783113415265,"{'latitude': '40.84878399818367', 'longitude': '-73.91783113415265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58919326,2023-09-25T17:54:01.000,2023-10-04T18:09:55.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10453,1683 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,05 BRONX,2028780100,BRONX,1006983,248523,ONLINE,Unspecified,BRONX,40.84878399818367,-73.91783113415265,"{'latitude': '40.84878399818367', 'longitude': '-73.91783113415265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58918290,2023-09-25T17:54:01.000,2023-10-04T18:09:55.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10453,1683 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,05 BRONX,2028780100,BRONX,1006983,248523,ONLINE,Unspecified,BRONX,40.84878399818367,-73.91783113415265,"{'latitude': '40.84878399818367', 'longitude': '-73.91783113415265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58921538,2023-09-25T17:53:46.000,2023-10-09T17:20:07.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10019,58 WEST   58 STREET,WEST   58 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-09T00:00:00.000,05 MANHATTAN,1012737501,MANHATTAN,991034,217803,PHONE,Unspecified,MANHATTAN,40.76449274511101,-73.97551013823026,"{'latitude': '40.76449274511101', 'longitude': '-73.97551013823026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
