unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,taxi_pick_up_location,road_ramp
58829227,2023-09-16T02:56:00.000,2023-09-16T04:35:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11377,,,,,QUEENS BOULEVARD,65 PLACE,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-16T04:35:00.000,02 QUEENS,QUEENS,1012070,209221,UNKNOWN,Unspecified,QUEENS,40.74089617616554,-73.89960689847297,"{'latitude': '40.74089617616554', 'longitude': '-73.89960689847297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS,,,,,,N/A,,
58831667,2023-09-16T02:55:05.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tour Bus,Business,10036,648 8 AVENUE,8 AVENUE,WEST   41 STREET,WEST   42 STREET,WEST   41 STREET,WEST   42 STREET,ADDRESS,In Progress,"The Department of Consumer and Worker Protection (DCWP) sent you a complaint form.  To help you, DCWP must get the completed form and any requested documents within 30 days.  You can send requested information by email, fax, or mail. Contact information is on the complaint form.  You may also be able to submit requested information at nyc.gov/dcwp. You must enter your NYC311 Service Request number.  If you didn't receive the complaint form within 15 days from the date you filed your Service Request, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.  DCWP will contact you about 30 days after getting your completed form and documents.",2023-09-18T13:07:38.000,05 MANHATTAN,MANHATTAN,987008,215025,ONLINE,Unspecified,MANHATTAN,40.75687002060584,-73.99004491324283,"{'latitude': '40.75687002060584', 'longitude': '-73.99004491324283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,8 AVENUE,1010137501,,,,,,
58833287,2023-09-16T02:55:00.000,2023-09-16T04:35:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11377,,,,,QUEENS BOULEVARD,65 PLACE,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-16T04:35:00.000,02 QUEENS,QUEENS,1012070,209221,UNKNOWN,Unspecified,QUEENS,40.74089617616554,-73.89960689847297,"{'latitude': '40.74089617616554', 'longitude': '-73.89960689847297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS,,,,,,N/A,,
58831861,2023-09-16T02:54:46.000,2023-09-16T03:27:19.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11228,72 STREET,72 STREET,15 AVENUE,NEW UTRECHT AVENUE,15 AVENUE,NEW UTRECHT AVENUE,BLOCKFACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:27:27.000,Unspecified BROOKLYN,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,,,
58829520,2023-09-16T02:54:07.000,2023-09-16T03:11:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10029,1695 MADISON AVENUE,MADISON AVENUE,EAST  112 STREET,EAST  115 STREET,EAST  112 STREET,EAST  115 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T03:11:58.000,11 MANHATTAN,MANHATTAN,999020,229830,ONLINE,Unspecified,MANHATTAN,40.79749393222475,-73.94665468854132,"{'latitude': '40.79749393222475', 'longitude': '-73.94665468854132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,MADISON AVENUE,1016200023,,,,,,
58832463,2023-09-16T02:54:06.000,2023-09-16T03:28:18.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11102,25-58 18 STREET,18 STREET,25 ROAD,26 AVENUE,25 ROAD,26 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:28:22.000,01 QUEENS,QUEENS,1004523,221388,ONLINE,Unspecified,QUEENS,40.774311992669475,-73.92680480152374,"{'latitude': '40.774311992669475', 'longitude': '-73.92680480152374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,18 STREET,4008990001,,,,,,
58833078,2023-09-16T02:53:26.000,2023-09-16T03:14:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11236,1687 RALPH AVENUE,RALPH AVENUE,EAST   76 STREET,GLENWOOD ROAD,EAST   76 STREET,GLENWOOD ROAD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T03:14:28.000,18 BROOKLYN,BROOKLYN,1006742,170852,ONLINE,Unspecified,BROOKLYN,40.63559729565515,-73.91896195428521,"{'latitude': '40.63559729565515', 'longitude': '-73.91896195428521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,RALPH AVENUE,3079800020,,,,,,
58826570,2023-09-16T02:53:08.000,2023-09-16T03:30:49.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,854 MADISON STREET,MADISON STREET,RALPH AVENUE,HOWARD AVENUE,RALPH AVENUE,HOWARD AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T03:30:53.000,03 BROOKLYN,BROOKLYN,1005524,189888,PHONE,Unspecified,BROOKLYN,40.68784989968144,-73.92329031032733,"{'latitude': '40.68784989968144', 'longitude': '-73.92329031032733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MADISON STREET,3014830010,,,,,,
58828002,2023-09-16T02:52:56.000,2023-09-16T03:01:20.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11416,89-20 ATLANTIC AVENUE,ATLANTIC AVENUE,89 STREET,90 STREET,89 STREET,90 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:01:27.000,09 QUEENS,QUEENS,1025048,189600,PHONE,Unspecified,QUEENS,40.686990944608844,-73.85289260712348,"{'latitude': '40.686990944608844', 'longitude': '-73.85289260712348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OZONE PARK,ATLANTIC AVENUE,4090270065,,,,,,
58827484,2023-09-16T02:52:48.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-18T00:09:10.000,Unspecified QUEENS,QUEENS,1008260,214833,MOBILE,Unspecified,QUEENS,40.75631086003365,-73.91333587198433,"{'latitude': '40.75631086003365', 'longitude': '-73.91333587198433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,R,M R to Forest Hills,Platform,,,
58833315,2023-09-16T02:52:39.000,2023-09-16T03:06:58.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11361,42-23 BELL BOULEVARD,BELL BOULEVARD,42 AVENUE,43 AVENUE,42 AVENUE,43 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:07:07.000,11 QUEENS,QUEENS,1047873,217087,ONLINE,Unspecified,QUEENS,40.76230118578213,-73.77033181427377,"{'latitude': '40.76230118578213', 'longitude': '-73.77033181427377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAYSIDE,BELL BOULEVARD,4062980008,,,,,,
58836708,2023-09-16T02:52:37.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-22T17:08:06.000,Unspecified BROOKLYN,BROOKLYN,1009511,180673,MOBILE,Unspecified,BROOKLYN,40.66254633246606,-73.90894855156775,"{'latitude': '40.66254633246606', 'longitude': '-73.90894855156775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,3,,Mezzanine,,,
58835997,2023-09-16T02:52:26.000,2023-09-16T08:58:21.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,686 EAST  234 STREET,EAST  234 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-16T08:58:26.000,12 BRONX,BRONX,1023592,265163,ONLINE,Unspecified,BRONX,40.894397256010194,-73.85769996208678,"{'latitude': '40.894397256010194', 'longitude': '-73.85769996208678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  234 STREET,2049940080,,,,,,
58835521,2023-09-16T02:51:52.000,2023-09-16T03:30:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11236,1687 RALPH AVENUE,RALPH AVENUE,EAST   76 STREET,GLENWOOD ROAD,EAST   76 STREET,GLENWOOD ROAD,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:30:58.000,18 BROOKLYN,BROOKLYN,1006742,170852,ONLINE,Unspecified,BROOKLYN,40.63559729565515,-73.91896195428521,"{'latitude': '40.63559729565515', 'longitude': '-73.91896195428521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,RALPH AVENUE,3079800020,,,,,,
58826651,2023-09-16T02:51:38.000,2023-09-16T03:23:47.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11237,1446 MYRTLE AVENUE,MYRTLE AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:23:52.000,04 BROOKLYN,BROOKLYN,1007300,193935,ONLINE,Unspecified,BROOKLYN,40.6989535263125,-73.91687257349851,"{'latitude': '40.6989535263125', 'longitude': '-73.91687257349851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MYRTLE AVENUE,3033080018,,,,,,
58834963,2023-09-16T02:51:35.000,2023-09-16T03:01:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11416,91 STREET,91 STREET,91 STREET,95 AVENUE,91 STREET,95 AVENUE,INTERSECTION,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:01:43.000,09 QUEENS,QUEENS,1025622,189296,ONLINE,Unspecified,QUEENS,40.68615387099798,-73.85082477723826,"{'latitude': '40.68615387099798', 'longitude': '-73.85082477723826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58830754,2023-09-16T02:51:18.000,2023-09-16T04:40:30.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,33 LOCUST STREET,LOCUST STREET,BROADWAY,BEAVER STREET,BROADWAY,BEAVER STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T04:40:35.000,04 BROOKLYN,BROOKLYN,1001605,194095,ONLINE,Unspecified,BROOKLYN,40.699405690173975,-73.93741057796947,"{'latitude': '40.699405690173975', 'longitude': '-73.93741057796947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,LOCUST STREET,3031340033,,,,,,
58832148,2023-09-16T02:51:16.000,2023-09-16T03:02:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11416,97-29 92 STREET,92 STREET,97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:02:57.000,09 QUEENS,QUEENS,1026065,188864,ONLINE,Unspecified,QUEENS,40.68496604976083,-73.8492301341147,"{'latitude': '40.68496604976083', 'longitude': '-73.8492301341147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OZONE PARK,92 STREET,4090660048,,,,,,
58828406,2023-09-16T02:51:03.000,2023-09-16T03:02:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11416,90-10 ATLANTIC AVENUE,ATLANTIC AVENUE,90 STREET,91 STREET,90 STREET,91 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:02:07.000,09 QUEENS,QUEENS,1025247,189675,ONLINE,Unspecified,QUEENS,40.68719588260646,-73.85217460784318,"{'latitude': '40.68719588260646', 'longitude': '-73.85217460784318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OZONE PARK,ATLANTIC AVENUE,4090270102,,,,,,
58835039,2023-09-16T02:50:32.000,2023-09-16T03:01:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11373,42-22 KETCHAM STREET,KETCHAM STREET,BAXTER AVENUE,PETTIT AVENUE,BAXTER AVENUE,PETTIT AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T03:01:35.000,04 QUEENS,QUEENS,1016505,210685,MOBILE,Unspecified,QUEENS,40.74489942410997,-73.88359545968551,"{'latitude': '40.74489942410997', 'longitude': '-73.88359545968551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMHURST,KETCHAM STREET,4015080011,,,,,,
58828206,2023-09-16T02:49:54.000,2023-09-16T03:01:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11416,89-20 ATLANTIC AVENUE,ATLANTIC AVENUE,89 STREET,90 STREET,89 STREET,90 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:01:52.000,09 QUEENS,QUEENS,1025048,189600,ONLINE,Unspecified,QUEENS,40.686990944608844,-73.85289260712348,"{'latitude': '40.686990944608844', 'longitude': '-73.85289260712348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OZONE PARK,ATLANTIC AVENUE,4090270065,,,,,,
58833786,2023-09-16T02:49:45.000,2023-09-16T03:01:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11373,42-01 KETCHAM STREET,KETCHAM STREET,BAXTER AVENUE,PETTIT AVENUE,BAXTER AVENUE,PETTIT AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T03:01:57.000,04 QUEENS,QUEENS,1016376,210768,MOBILE,Unspecified,QUEENS,40.74512770770235,-73.88406060867165,"{'latitude': '40.74512770770235', 'longitude': '-73.88406060867165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMHURST,KETCHAM STREET,4015077502,,,,,,
58828176,2023-09-16T02:49:40.000,2023-09-16T03:06:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11214,7801 17 AVENUE,17 AVENUE,78 STREET,79 STREET,78 STREET,79 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:07:02.000,11 BROOKLYN,BROOKLYN,984184,162617,ONLINE,Unspecified,BROOKLYN,40.61302250157011,-74.00023771570051,"{'latitude': '40.61302250157011', 'longitude': '-74.00023771570051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,17 AVENUE,3062600008,,,,,,
58831033,2023-09-16T02:49:38.000,2023-09-16T02:56:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,143 FROST STREET,FROST STREET,MANHATTAN AVENUE,GRAHAM AVENUE,MANHATTAN AVENUE,GRAHAM AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:56:22.000,01 BROOKLYN,BROOKLYN,999281,200867,ONLINE,Unspecified,BROOKLYN,40.71799747574254,-73.9457767783512,"{'latitude': '40.71799747574254', 'longitude': '-73.9457767783512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,FROST STREET,3027340032,,,,,,
58828127,2023-09-16T02:49:22.000,2023-09-16T03:23:20.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,233 EAST   12 STREET,EAST   12 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T03:23:27.000,03 MANHATTAN,MANHATTAN,987872,205767,ONLINE,Unspecified,MANHATTAN,40.73145881420975,-73.98693126394657,"{'latitude': '40.73145881420975', 'longitude': '-73.98693126394657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST   12 STREET,1004680045,,,,,,
58830272,2023-09-16T02:49:08.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Restaurant,Business,11432,153-33 HILLSIDE AVENUE,HILLSIDE AVENUE,153 STREET,PARSONS BOULEVARD,153 STREET,PARSONS BOULEVARD,ADDRESS,In Progress,"The Department of Consumer and Worker Protection (DCWP) Enforcement Division is reviewing your NYC311 Service Request.   If the Enforcement Division needs to conduct an inspection, it may take 35 days to complete.  Please wait 35 days from the date of this update before calling DCWP for status.  You can get status by calling DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.",2023-09-28T11:37:48.000,08 QUEENS,QUEENS,1038525,197029,ONLINE,Unspecified,QUEENS,40.707309388050334,-73.8042381909907,"{'latitude': '40.707309388050334', 'longitude': '-73.8042381909907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,HILLSIDE AVENUE,4097060052,,,,,,
58831067,2023-09-16T02:48:54.000,2023-09-16T03:13:31.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10029,251 EAST  109 STREET,EAST  109 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:13:38.000,11 MANHATTAN,MANHATTAN,1000289,228191,ONLINE,Unspecified,MANHATTAN,40.79299311011608,-73.9420753137796,"{'latitude': '40.79299311011608', 'longitude': '-73.9420753137796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST  109 STREET,1016590021,,,,,,
58831725,2023-09-16T02:48:43.000,2023-09-16T05:03:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11103,32-04 44 STREET,44 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T05:03:09.000,01 QUEENS,QUEENS,1007487,215119,MOBILE,Unspecified,QUEENS,40.75709792204674,-73.91612502636258,"{'latitude': '40.75709792204674', 'longitude': '-73.91612502636258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,44 STREET,4006910042,,,,,,
58834964,2023-09-16T02:48:21.000,2023-09-16T03:22:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10455,880 EAST  147 STREET,EAST  147 STREET,TIMPSON PLACE,AUSTIN PLACE,TIMPSON PLACE,AUSTIN PLACE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:22:17.000,01 BRONX,BRONX,1010735,234515,ONLINE,Unspecified,BRONX,40.810325615052456,-73.9043247693361,"{'latitude': '40.810325615052456', 'longitude': '-73.9043247693361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  147 STREET,2026007502,,,,,,
