unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58965918,2023-09-29T10:44:14.000,2023-09-30T18:43:28.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11229,1620 EAST   12 STREET,EAST   12 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-30T00:00:00.000,15 BROOKLYN,3067740014,BROOKLYN,995004,161334,PHONE,Unspecified,BROOKLYN,40.609494405133354,-73.96126879355528,"{'latitude': '40.609494405133354', 'longitude': '-73.96126879355528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58961276,2023-09-29T10:44:14.000,2023-10-02T18:04:11.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,377 EAST   31 STREET,EAST   31 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,17 BROOKLYN,3049480056,BROOKLYN,998790,173074,PHONE,Unspecified,BROOKLYN,40.64171283259724,-73.94760799046846,"{'latitude': '40.64171283259724', 'longitude': '-73.94760799046846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58964370,2023-09-29T10:44:13.000,2023-10-13T18:34:03.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10030,149 EDGECOMBE AVENUE,EDGECOMBE AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,09 MANHATTAN,1020510091,MANHATTAN,999548,238692,PHONE,Unspecified,MANHATTAN,40.8218167614615,-73.94472749743754,"{'latitude': '40.8218167614615', 'longitude': '-73.94472749743754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
59452510,2023-09-29T10:44:13.000,2023-09-30T04:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11413,229-11 148 AVENUE,148 AVENUE,ADDRESS,SPRINGFIELD GARDENS,Closed,,2023-09-30T04:50:00.000,13 QUEENS,4137090033,QUEENS,1052586,178601,PHONE,Unspecified,QUEENS,40.65663149891443,-73.75370938649966,"{'latitude': '40.65663149891443', 'longitude': '-73.75370938649966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",229 STREET,230 STREET,229 STREET,230 STREET,148 AVENUE,,,,,,,
58956283,2023-09-29T10:44:13.000,2023-09-29T17:51:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11238,458 WAVERLY AVENUE,WAVERLY AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T17:51:40.000,02 BROOKLYN,,BROOKLYN,993660,188571,MOBILE,Unspecified,BROOKLYN,40.68425560139652,-73.96607129839435,"{'latitude': '40.68425560139652', 'longitude': '-73.96607129839435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GATES AVENUE,FULTON STREET,GATES AVENUE,FULTON STREET,WAVERLY AVENUE,,,,,,,
58961330,2023-09-29T10:44:13.000,,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10468,2272 UNIVERSITY AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,07 BRONX,2032120015,BRONX,1009963,252759,ONLINE,Unspecified,BRONX,40.86040237374894,-73.90704362661752,"{'latitude': '40.86040237374894', 'longitude': '-73.90704362661752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58961721,2023-09-29T10:44:12.000,2023-10-02T08:50:28.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,11229,AVENUE T,AVENUE T,INTERSECTION,,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-02T08:50:32.000,15 BROOKLYN,,BROOKLYN,999218,158704,ONLINE,Unspecified,BROOKLYN,40.602269477428045,-73.9460976397695,"{'latitude': '40.602269477428045', 'longitude': '-73.9460976397695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE T,EAST   26 STREET,AVENUE T,EAST   26 STREET,,,,,,,,
58964483,2023-09-29T10:44:11.000,2023-10-03T20:32:20.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10460,1572 VYSE AVENUE,VYSE AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,03 BRONX,2029960022,BRONX,1015472,243410,ONLINE,Unspecified,BRONX,40.83472438101136,-73.88717131395815,"{'latitude': '40.83472438101136', 'longitude': '-73.88717131395815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58967719,2023-09-29T10:44:11.000,2023-10-03T20:32:21.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10460,1572 VYSE AVENUE,VYSE AVENUE,ADDRESS,BRONX,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-10-03T00:00:00.000,03 BRONX,2029960022,BRONX,1015472,243410,ONLINE,Unspecified,BRONX,40.83472438101136,-73.88717131395815,"{'latitude': '40.83472438101136', 'longitude': '-73.88717131395815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58956978,2023-09-29T10:44:10.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11226,612 OCEAN AVENUE,OCEAN AVENUE,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,14 BROOKLYN,3051000068,BROOKLYN,995181,175327,PHONE,Unspecified,BROOKLYN,40.64790202088548,-73.96060865429247,"{'latitude': '40.64790202088548', 'longitude': '-73.96060865429247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
