unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location
58899930,2023-09-22T08:11:49.000,2023-09-22T12:09:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11415,22 KEW GARDENS ROAD,KEW GARDENS ROAD,82 AVENUE,82 AVENUE,82 AVENUE,82 AVENUE,ADDRESS,KEW GARDENS,KEW GARDENS ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T12:09:31.000,09 QUEENS,4033510036,QUEENS,1031574,198862,ONLINE,Unspecified,QUEENS,40.71238043574795,-73.82929645669869,"{'latitude': '40.71238043574795', 'longitude': '-73.82929645669869', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901536,2023-09-22T08:11:43.000,2023-09-26T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,11206,249 GRAHAM AVENUE,GRAHAM AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-09-27T08:33:25.000,01 BROOKLYN,3027880029,BROOKLYN,999828,198301,UNKNOWN,Unspecified,BROOKLYN,40.71095347382442,-73.94380945462693,"{'latitude': '40.71095347382442', 'longitude': '-73.94380945462693', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-22T08:11:43.000,,,,,
58901074,2023-09-22T08:11:37.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11356,126-01 15 AVENUE,15 AVENUE,126 STREET,14 AVENUE,126 STREET,14 AVENUE,ADDRESS,COLLEGE POINT,15 AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-22T12:07:18.000,07 QUEENS,4040930055,QUEENS,1028006,225299,PHONE,Unspecified,QUEENS,40.784961586215516,-73.84199463642712,"{'latitude': '40.784961586215516', 'longitude': '-73.84199463642712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902288,2023-09-22T08:11:32.000,2023-09-22T10:38:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10462,742 MORRIS PARK AVENUE,MORRIS PARK AVENUE,HUNT AVENUE,HOLLAND AVENUE,HUNT AVENUE,HOLLAND AVENUE,ADDRESS,BRONX,MORRIS PARK AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T10:38:09.000,11 BRONX,2040340007,BRONX,1021711,247356,ONLINE,Unspecified,BRONX,40.845530728526,-73.86460308281143,"{'latitude': '40.845530728526', 'longitude': '-73.86460308281143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892035,2023-09-22T08:11:31.000,2023-09-22T13:45:09.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11218,421 EAST    3 STREET,EAST    3 STREET,BEVERLEY ROAD,AVENUE C,BEVERLEY ROAD,AVENUE C,ADDRESS,BROOKLYN,EAST    3 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:45:07.000,12 BROOKLYN,3053550064,BROOKLYN,990622,173001,PHONE,Unspecified,BROOKLYN,40.64152210599472,-73.97703982706847,"{'latitude': '40.64152210599472', 'longitude': '-73.97703982706847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894376,2023-09-22T08:11:21.000,2023-09-25T13:01:08.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10312,24 SUSANNA LANE,SUSANNA LANE,HALPIN AVENUE,BEND,HALPIN AVENUE,BEND,ADDRESS,STATEN ISLAND,SUSANNA LANE,Closed,The Department of Sanitation collected the requested items.,2023-09-23T11:31:30.000,03 STATEN ISLAND,5057720106,STATEN ISLAND,932538,140841,ONLINE,Unspecified,STATEN ISLAND,40.55310093617568,-74.1860869565786,"{'latitude': '40.55310093617568', 'longitude': '-74.1860869565786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895930,2023-09-22T08:11:18.000,2023-09-22T12:52:04.000,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,10475,BOSTON ROAD,BOSTON ROAD,BOSTON ROAD,STEENWICK AVENUE,BOSTON ROAD,STEENWICK AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T12:52:07.000,12 BRONX,,BRONX,1030897,261647,PHONE,Unspecified,BRONX,40.884711368344966,-73.83130232438441,"{'latitude': '40.884711368344966', 'longitude': '-73.83130232438441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900105,2023-09-22T08:11:00.000,2023-10-02T08:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10018,497 9 AVENUE,9 AVENUE,W 37 ST,W 38 ST,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-02T08:15:00.000,04 MANHATTAN,1007350035,MANHATTAN,985726,214579,PHONE,Unspecified,MANHATTAN,40.755646171202045,-73.99467242999835,"{'latitude': '40.755646171202045', 'longitude': '-73.99467242999835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58899906,2023-09-22T08:10:26.000,2023-09-23T13:22:43.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11208,3419 FULTON STREET,FULTON STREET,LINCOLN AVENUE,NICHOLS AVENUE,LINCOLN AVENUE,NICHOLS AVENUE,ADDRESS,BROOKLYN,FULTON STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-23T05:44:53.000,05 BROOKLYN,3041340001,BROOKLYN,1020475,188670,ONLINE,Unspecified,BROOKLYN,40.68445820786661,-73.86938667644213,"{'latitude': '40.68445820786661', 'longitude': '-73.86938667644213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898459,2023-09-22T08:10:23.000,2023-10-14T13:16:54.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,10016,301 EAST   38 STREET,EAST   38 STREET,2 AVENUE,QUEENS MIDTOWN TUNNEL APPROACH,2 AVENUE,QUEENS MIDTOWN TUNNEL APPROACH,ADDRESS,NEW YORK,EAST   38 STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-22T09:47:00.000,06 MANHATTAN,1009440001,MANHATTAN,991479,211521,ONLINE,Unspecified,MANHATTAN,40.747249902958366,-73.97391046733915,"{'latitude': '40.747249902958366', 'longitude': '-73.97391046733915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
