unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date
58795225,2023-09-12T18:52:07.000,2023-09-15T08:56:52.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,10309,761 STAFFORD AVENUE,STAFFORD AVENUE,MARCY AVENUE,VERNON AVENUE,MARCY AVENUE,VERNON AVENUE,ADDRESS,STATEN ISLAND,STAFFORD AVENUE,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-15T08:56:56.000,03 STATEN ISLAND,5068900076,STATEN ISLAND,927753,136380,ONLINE,Unspecified,STATEN ISLAND,40.540827177851654,-74.20326859160929,"{'latitude': '40.540827177851654', 'longitude': '-74.20326859160929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58795916,2023-09-12T18:51:40.000,2023-09-12T18:53:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11231,191 UNION STREET,UNION STREET,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T18:53:49.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58795860,2023-09-12T18:51:00.000,2023-09-12T19:15:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11414,,,,,SOUTH CONDUIT AVENUE,149 AVENUE,INTERSECTION,QUEENS,,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-12T19:15:00.000,10 QUEENS,,QUEENS,1026454,183421,UNKNOWN,Unspecified,QUEENS,40.670024420958256,-73.84786162811717,"{'latitude': '40.670024420958256', 'longitude': '-73.84786162811717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58797698,2023-09-12T18:50:55.000,2023-09-12T19:34:31.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,246 ECHO PLACE,ECHO PLACE,GRAND CONCOURSE,ANTHONY AVENUE,GRAND CONCOURSE,ANTHONY AVENUE,ADDRESS,BRONX,ECHO PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T19:34:34.000,05 BRONX,2028090026,BRONX,1010731,248841,ONLINE,Unspecified,BRONX,40.849646368561885,-73.90428267010178,"{'latitude': '40.849646368561885', 'longitude': '-73.90428267010178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58794194,2023-09-12T18:50:47.000,2023-09-12T19:02:39.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10451,891 BROOK AVENUE,BROOK AVENUE,3 AVENUE,EAST  161 STREET,3 AVENUE,EAST  161 STREET,ADDRESS,BRONX,BROOK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T19:02:47.000,03 BRONX,,BRONX,1009028,239157,PHONE,Unspecified,BRONX,40.8230715489424,-73.91047404621315,"{'latitude': '40.8230715489424', 'longitude': '-73.91047404621315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58788847,2023-09-12T18:50:39.000,2023-09-12T19:22:46.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10014,61 CHARLES STREET,CHARLES STREET,WEST    4 STREET,BLEECKER STREET,WEST    4 STREET,BLEECKER STREET,ADDRESS,NEW YORK,CHARLES STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T19:22:49.000,02 MANHATTAN,1006210066,MANHATTAN,983223,206992,MOBILE,Unspecified,MANHATTAN,40.73482182007225,-74.00370576181132,"{'latitude': '40.73482182007225', 'longitude': '-74.00370576181132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58798575,2023-09-12T18:50:23.000,2023-09-13T13:34:22.000,DSNY,Department of Sanitation,Illegal Posting,Poster or Sign,Sidewalk,11207,DEWITT AVENUE,DEWITT AVENUE,DEWITT AVENUE,MALTA STREET,DEWITT AVENUE,MALTA STREET,INTERSECTION,,,Closed,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,2023-09-13T13:34:25.000,05 BROOKLYN,,BROOKLYN,1013711,178670,ONLINE,Unspecified,BROOKLYN,40.65703556373915,-73.8938187202921,"{'latitude': '40.65703556373915', 'longitude': '-73.8938187202921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58791005,2023-09-12T18:50:21.000,2023-09-27T13:17:30.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11435,81-20 138 STREET,138 STREET,COOLIDGE AVENUE,82 AVENUE,COOLIDGE AVENUE,82 AVENUE,ADDRESS,JAMAICA,138 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-12T18:50:21.000,08 QUEENS,4096690025,QUEENS,1033808,199904,ONLINE,Unspecified,QUEENS,40.715228239896526,-73.82123049258159,"{'latitude': '40.715228239896526', 'longitude': '-73.82123049258159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58793877,2023-09-12T18:50:21.000,2023-09-12T18:50:21.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10023,140 WEST   74 STREET,WEST   74 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   74 STREET,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-12T18:50:21.000,07 MANHATTAN,1011450049,MANHATTAN,989967,223221,ONLINE,Unspecified,MANHATTAN,40.779364494089684,-73.97935733949994,"{'latitude': '40.779364494089684', 'longitude': '-73.97935733949994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58788795,2023-09-12T18:50:04.000,2023-09-12T19:28:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10467,712 EAST GUN HILL ROAD,EAST GUN HILL ROAD,WHITE PLAINS ROAD,HOLLAND AVENUE,WHITE PLAINS ROAD,HOLLAND AVENUE,ADDRESS,BRONX,EAST GUN HILL ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T19:28:48.000,12 BRONX,2046290050,BRONX,1021339,258894,MOBILE,Unspecified,BRONX,40.87720059434862,-73.86588376795467,"{'latitude': '40.87720059434862', 'longitude': '-73.86588376795467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
