unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58862896,2023-09-19T08:55:24.000,2023-09-23T11:28:22.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10453,1862 UNIVERSITY AVENUE,UNIVERSITY AVENUE,MORTON PLACE,WEST BURNSIDE AVENUE,MORTON PLACE,WEST BURNSIDE AVENUE,ADDRESS,BRONX,UNIVERSITY AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-05T07:51:35.000,05 BRONX,2028680026,BRONX,1008053,249674,ONLINE,Unspecified,BRONX,40.85194033123751,-73.91395951462418,"{'latitude': '40.85194033123751', 'longitude': '-73.91395951462418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865102,2023-09-19T08:55:08.000,2023-09-19T09:56:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11218,3901 16 AVENUE,16 AVENUE,39 STREET,40 STREET,39 STREET,40 STREET,ADDRESS,BROOKLYN,16 AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T09:56:26.000,12 BROOKLYN,3053830001,BROOKLYN,989867,171189,PHONE,Unspecified,BROOKLYN,40.63654906444461,-73.97976182046446,"{'latitude': '40.63654906444461', 'longitude': '-73.97976182046446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58860794,2023-09-19T08:55:05.000,2023-09-20T12:17:19.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11222,141A MCGUINNESS BOULEVARD,MCGUINNESS BOULEVARD,NORMAN AVENUE,MESEROLE AVENUE,NORMAN AVENUE,MESEROLE AVENUE,ADDRESS,BROOKLYN,MCGUINNESS BOULEVARD,Closed,The Department of Sanitation collected the requested items.,2023-09-20T11:45:30.000,01 BROOKLYN,3026220116,BROOKLYN,998207,204219,ONLINE,Unspecified,BROOKLYN,40.727199663116586,-73.94964420188033,"{'latitude': '40.727199663116586', 'longitude': '-73.94964420188033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58858333,2023-09-19T08:54:50.000,2023-09-19T09:40:13.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10465,2805 DEWEY AVENUE,DEWEY AVENUE,BALCOM AVENUE,SWINTON AVENUE,BALCOM AVENUE,SWINTON AVENUE,ADDRESS,BRONX,DEWEY AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T09:40:16.000,10 BRONX,2055640001,BRONX,1033187,238429,PHONE,Unspecified,BRONX,40.8209725910761,-73.82319010314151,"{'latitude': '40.8209725910761', 'longitude': '-73.82319010314151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856973,2023-09-19T08:54:42.000,2023-09-20T06:56:38.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11379,69-34 61 ROAD,61 ROAD,69 STREET,69 PLACE,69 STREET,69 PLACE,ADDRESS,MIDDLE VILLAGE,61 ROAD,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-20T06:56:37.000,05 QUEENS,4029230022,QUEENS,1014824,201333,ONLINE,Unspecified,QUEENS,40.71923647109256,-73.88970448208113,"{'latitude': '40.71923647109256', 'longitude': '-73.88970448208113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58862172,2023-09-19T08:54:02.000,2023-09-19T10:43:05.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,76-36 164 STREET,164 STREET,76 ROAD,77 AVENUE,76 ROAD,77 AVENUE,ADDRESS,FRESH MEADOWS,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T10:43:10.000,08 QUEENS,4068480001,QUEENS,1038334,203443,ONLINE,Unspecified,QUEENS,40.724915407989414,-73.80487556506887,"{'latitude': '40.724915407989414', 'longitude': '-73.80487556506887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58866579,2023-09-19T08:53:45.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10022,525 MADISON AVENUE,MADISON AVENUE,EAST 53 STREET,EAST 54 STREET,EAST   53 STREET,EAST   54 STREET,ADDRESS,NEW YORK,MADISON AVENUE,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-19T13:26:41.000,05 MANHATTAN,1012890149,MANHATTAN,991472,216210,MOBILE,Unspecified,MANHATTAN,40.76012002312042,-73.9739306941558,"{'latitude': '40.76012002312042', 'longitude': '-73.9739306941558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857534,2023-09-19T08:53:43.000,2023-09-23T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,11426,81-59 246 STREET,246 STREET,,,,,ADDRESS,BELLEROSE,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-09-23T00:00:00.000,13 QUEENS,4085690038,QUEENS,1061077,208720,UNKNOWN,Unspecified,QUEENS,40.739231119093134,-73.72276350644422,"{'latitude': '40.739231119093134', 'longitude': '-73.72276350644422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855668,2023-09-19T08:53:43.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,11417,104-26 107 STREET,107 STREET,,,,,ADDRESS,OZONE PARK,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-25T00:00:00.000,10 QUEENS,4095290018,QUEENS,1030166,188148,UNKNOWN,Unspecified,QUEENS,40.68298047253529,-73.83444831432402,"{'latitude': '40.68298047253529', 'longitude': '-73.83444831432402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58863367,2023-09-19T08:53:41.000,2023-09-19T10:53:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11354,133-16 KING ROAD,KING ROAD,36 AVENUE,COLLEGE POINT BOULEVARD,36 AVENUE,COLLEGE POINT BOULEVARD,ADDRESS,FLUSHING,KING ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T10:53:32.000,07 QUEENS,4049680011,QUEENS,1029957,216828,ONLINE,Unspecified,QUEENS,40.76170107529238,-73.83500709862919,"{'latitude': '40.76170107529238', 'longitude': '-73.83500709862919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
