unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58852924,2023-09-18T23:32:20.000,2023-09-19T01:05:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,6820 COLONIAL ROAD,COLONIAL ROAD,68 STREET,BAY RIDGE AVENUE,68 STREET,BAY RIDGE AVENUE,ADDRESS,BROOKLYN,COLONIAL ROAD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T01:05:40.000,10 BROOKLYN,3058600118,BROOKLYN,975623,171658,ONLINE,Unspecified,BROOKLYN,40.63783394915983,-74.03108387729453,"{'latitude': '40.63783394915983', 'longitude': '-74.03108387729453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58849223,2023-09-18T23:31:52.000,2023-09-19T00:40:47.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10467,2984 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,BARNES AVENUE,WALLACE AVENUE,BARNES AVENUE,WALLACE AVENUE,ADDRESS,BRONX,WILLIAMSBRIDGE ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T00:40:52.000,11 BRONX,,BRONX,1021984,255839,ONLINE,Unspecified,BRONX,40.86881283361072,-73.86356861546383,"{'latitude': '40.86881283361072', 'longitude': '-73.86356861546383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58852419,2023-09-18T23:31:35.000,2023-09-21T10:03:50.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Street,11219,1132 44 STREET,44 STREET,FORT HAMILTON PARKWAY,12 AVENUE,FORT HAMILTON PARKWAY,12 AVENUE,ADDRESS,BROOKLYN,44 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-21T10:03:56.000,12 BROOKLYN,,BROOKLYN,986169,172504,PHONE,Unspecified,BROOKLYN,40.64016003174194,-73.99308542498147,"{'latitude': '40.64016003174194', 'longitude': '-73.99308542498147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58851941,2023-09-18T23:31:31.000,2023-09-19T02:07:07.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11225,436 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,EASTERN PARKWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T02:07:11.000,09 BROOKLYN,3012670021,BROOKLYN,996985,183396,ONLINE,Unspecified,BROOKLYN,40.670047237718656,-73.9540924570335,"{'latitude': '40.670047237718656', 'longitude': '-73.9540924570335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58869308,2023-09-18T23:31:09.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,10474,1202 SPOFFORD AVENUE,SPOFFORD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-19T00:00:00.000,02 BRONX,2027650078,BRONX,1014477,235801,UNKNOWN,Unspecified,BRONX,40.813843313952916,-73.89080127510307,"{'latitude': '40.813843313952916', 'longitude': '-73.89080127510307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58845655,2023-09-18T23:31:04.000,2023-09-19T01:55:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465,180 DAVIS AVENUE,DAVIS AVENUE,SCHURZ AVENUE,HARDING AVENUE,SCHURZ AVENUE,HARDING AVENUE,ADDRESS,BRONX,DAVIS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T01:55:26.000,10 BRONX,2056067501,BRONX,1032878,235621,MOBILE,Unspecified,BRONX,40.81326714107099,-73.82432686647437,"{'latitude': '40.81326714107099', 'longitude': '-73.82432686647437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58854437,2023-09-18T23:31:02.000,2023-09-19T00:16:50.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11207,771 MILLER AVENUE,MILLER AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,MILLER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T00:16:54.000,05 BROOKLYN,3043040044,BROOKLYN,1015387,180473,ONLINE,Unspecified,BROOKLYN,40.661978663023014,-73.88776987892537,"{'latitude': '40.661978663023014', 'longitude': '-73.88776987892537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58846943,2023-09-18T23:30:46.000,2023-09-18T23:55:13.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11205,1058 BEDFORD AVENUE,BEDFORD AVENUE,LAFAYETTE AVENUE,CLIFTON PLACE,LAFAYETTE AVENUE,CLIFTON PLACE,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T23:55:16.000,03 BROOKLYN,3019500040,BROOKLYN,996727,190236,ONLINE,Unspecified,BROOKLYN,40.68882185253956,-73.95500983975015,"{'latitude': '40.68882185253956', 'longitude': '-73.95500983975015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58852318,2023-09-18T23:30:43.000,2023-09-19T01:17:47.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11210,AVENUE L,AVENUE L,AVENUE L,EAST   35 STREET,AVENUE L,EAST   35 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T01:17:53.000,18 BROOKLYN,,BROOKLYN,1000565,166082,PHONE,Unspecified,BROOKLYN,40.62251818531288,-73.9412290348379,"{'latitude': '40.62251818531288', 'longitude': '-73.9412290348379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58854973,2023-09-18T23:30:35.000,2023-09-19T05:40:55.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10465,3231 RANDALL AVENUE,RANDALL AVENUE,WILCOX AVENUE,CLARENCE AVENUE,WILCOX AVENUE,CLARENCE AVENUE,ADDRESS,BRONX,RANDALL AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-19T05:41:01.000,10 BRONX,2054800045,BRONX,1035323,241450,MOBILE,Unspecified,BRONX,40.82925226714584,-73.81544973944209,"{'latitude': '40.82925226714584', 'longitude': '-73.81544973944209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58849842,2023-09-18T23:30:34.000,2023-09-19T04:08:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11369,26-50 94 STREET,94 STREET,ASTORIA BOULEVARD,30 AVENUE,ASTORIA BOULEVARD,30 AVENUE,ADDRESS,EAST ELMHURST,94 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T04:08:47.000,03 QUEENS,4013670070,QUEENS,1018832,216952,PHONE,Unspecified,QUEENS,40.76209193800887,-73.8751653673097,"{'latitude': '40.76209193800887', 'longitude': '-73.8751653673097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
