unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_segment,latitude,longitude,location,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,bbl,facility_type,due_date,taxi_pick_up_location
58906117,2023-09-23T23:40:44.000,2023-09-23T23:58:56.000,NYPD,New York City Police Department,Encampment,N/A,Subway,Closed,The Police Department visited the location and no Encampment was found.,2023-09-23T23:59:01.000,Unspecified BRONX,BRONX,1022234,261334,MOBILE,Unspecified,BRONX,2,Mezzanine,40.8838938212401,-73.86263355891617,"{'latitude': '40.8838938212401', 'longitude': '-73.86263355891617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58907988,2023-09-23T23:40:33.000,2023-09-24T00:33:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-24T00:33:32.000,01 STATEN ISLAND,STATEN ISLAND,962137,174245,ONLINE,Unspecified,STATEN ISLAND,,,40.644911304552586,-74.07968364057206,"{'latitude': '40.644911304552586', 'longitude': '-74.07968364057206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10301,60 HAMILTON AVENUE,HAMILTON AVENUE,ACADEMY PLACE,ST MARKS PLACE,ACADEMY PLACE,ST MARKS PLACE,ADDRESS,STATEN ISLAND,HAMILTON AVENUE,5000110020,,,
58906358,2023-09-23T23:40:23.000,2023-09-24T00:08:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T00:08:50.000,08 MANHATTAN,MANHATTAN,998504,224009,MOBILE,Unspecified,MANHATTAN,,,40.781517700571726,-73.94853069582386,"{'latitude': '40.781517700571726', 'longitude': '-73.94853069582386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10128,305 EAST   92 STREET,EAST   92 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   92 STREET,1015550005,,,
58905936,2023-09-23T23:40:03.000,2023-10-09T02:02:39.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,GUTTER/LEADER,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-09T00:00:00.000,09 BROOKLYN,BROOKLYN,995593,180120,PHONE,Unspecified,BROOKLYN,,,40.66105723901385,-73.95911589501321,"{'latitude': '40.66105723901385', 'longitude': '-73.95911589501321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11225,101 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,3013270077,,,
58907382,2023-09-23T23:40:02.000,2023-09-23T23:58:15.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T23:58:20.000,04 BROOKLYN,BROOKLYN,1005411,193675,ONLINE,Unspecified,BROOKLYN,,,40.698244605892185,-73.92368586872078,"{'latitude': '40.698244605892185', 'longitude': '-73.92368586872078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11221,1308 MYRTLE AVENUE,MYRTLE AVENUE,STOCKHOLM STREET,STANHOPE STREET,STOCKHOLM STREET,STANHOPE STREET,ADDRESS,BROOKLYN,MYRTLE AVENUE,3032550016,,,
58907360,2023-09-23T23:40:00.000,,DOT,Department of Transportation,Street Light Condition,Fixture/Luminaire Damaged,,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-25T14:18:00.000,Unspecified QUEENS,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,,FRANCIS LEWIS BLVD,HORACE HARDING EXPY,INTERSECTION,,,,,,
58905700,2023-09-23T23:39:56.000,2023-09-24T00:56:35.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T00:56:40.000,04 BRONX,BRONX,1004134,243003,MOBILE,Unspecified,BRONX,,,40.83364008903812,-73.92814526096437,"{'latitude': '40.83364008903812', 'longitude': '-73.92814526096437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10452,1041 NELSON AVENUE,NELSON AVENUE,WEST  164 STREET,WEST  165 STREET,WEST  164 STREET,WEST  165 STREET,ADDRESS,BRONX,NELSON AVENUE,2025120015,,,
58909590,2023-09-23T23:39:54.000,2023-09-24T00:18:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T00:18:42.000,01 STATEN ISLAND,STATEN ISLAND,963282,167537,ONLINE,Unspecified,STATEN ISLAND,,,40.626502063478135,-74.07553681982586,"{'latitude': '40.626502063478135', 'longitude': '-74.07553681982586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10304,635 BAY STREET,BAY STREET,CANAL STREET,THOMPSON STREET,CANAL STREET,THOMPSON STREET,ADDRESS,STATEN ISLAND,BAY STREET,5004940009,,,
58907826,2023-09-23T23:39:29.000,2023-09-24T01:47:04.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T01:47:07.000,12 BROOKLYN,BROOKLYN,990483,169015,MOBILE,Unspecified,BROOKLYN,,,40.630581483730566,-73.97754436645052,"{'latitude': '40.630581483730566', 'longitude': '-73.97754436645052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11204,4412 18 AVENUE,18 AVENUE,MCDONALD AVENUE,45 STREET,MCDONALD AVENUE,45 STREET,ADDRESS,BROOKLYN,18 AVENUE,3054070088,,,
58908145,2023-09-23T23:39:23.000,2023-10-01T02:04:35.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,16 BROOKLYN,BROOKLYN,1008795,186415,PHONE,Unspecified,BROOKLYN,,,40.67830884414116,-73.91150841210155,"{'latitude': '40.67830884414116', 'longitude': '-73.91150841210155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11233,2140 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,3015510049,,,
58906469,2023-09-23T23:39:23.000,2023-10-01T02:04:35.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,16 BROOKLYN,BROOKLYN,1008795,186415,PHONE,Unspecified,BROOKLYN,,,40.67830884414116,-73.91150841210155,"{'latitude': '40.67830884414116', 'longitude': '-73.91150841210155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11233,2140 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,3015510049,,,
58907105,2023-09-23T23:39:23.000,2023-10-01T02:04:35.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,16 BROOKLYN,BROOKLYN,1008795,186415,PHONE,Unspecified,BROOKLYN,,,40.67830884414116,-73.91150841210155,"{'latitude': '40.67830884414116', 'longitude': '-73.91150841210155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11233,2140 FULTON STREET,FULTON STREET,,,,,ADDRESS,BROOKLYN,,3015510049,,,
