unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58809500,2023-09-13T22:17:44.000,2023-09-13T22:47:28.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10003,787 BROADWAY,BROADWAY,EAST   10 STREET,EAST   11 STREET,EAST   10 STREET,EAST   11 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T22:47:31.000,02 MANHATTAN,1005620030,MANHATTAN,986622,205908,ONLINE,Unspecified,MANHATTAN,40.7318462481704,-73.99144140748527,"{'latitude': '40.7318462481704', 'longitude': '-73.99144140748527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801506,2023-09-13T22:17:38.000,2023-09-13T22:48:31.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10025,100 WEST  107 STREET,WEST  107 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  107 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T22:48:35.000,07 MANHATTAN,1018617501,MANHATTAN,994548,230773,MOBILE,Unspecified,MANHATTAN,40.800088553309315,-73.96280491452997,"{'latitude': '40.800088553309315', 'longitude': '-73.96280491452997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808207,2023-09-13T22:17:24.000,2023-09-13T22:26:33.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11385,1718 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,ADDRESS,RIDGEWOOD,WILLOUGHBY AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T22:26:35.000,05 QUEENS,4034200038,QUEENS,1006737,197276,MOBILE,Unspecified,QUEENS,40.70812523103593,-73.91889181684047,"{'latitude': '40.70812523103593', 'longitude': '-73.91889181684047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58808705,2023-09-13T22:17:09.000,2023-10-05T09:19:32.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11432,84-59 161 STREET,161 STREET,84 DRIVE,85 AVENUE,84 DRIVE,85 AVENUE,ADDRESS,JAMAICA,161 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-13T22:17:09.000,08 QUEENS,4097850005,QUEENS,1038613,199111,PHONE,Unspecified,QUEENS,40.71302342945563,-73.80390397848026,"{'latitude': '40.71302342945563', 'longitude': '-73.80390397848026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809076,2023-09-13T22:17:09.000,2023-09-14T08:26:26.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,11210,682 EAST   24 STREET,EAST   24 STREET,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,EAST   24 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T04:42:33.000,14 BROOKLYN,3052440079,BROOKLYN,997000,170245,ONLINE,Unspecified,BROOKLYN,40.63395059004224,-73.95406324527879,"{'latitude': '40.63395059004224', 'longitude': '-73.95406324527879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58809171,2023-09-13T22:17:00.000,2023-09-14T21:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11215,515 5 STREET,5 STREET,7 AVE,8 AVE,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-14T21:00:00.000,06 BROOKLYN,3010827501,BROOKLYN,990288,182894,ONLINE,Unspecified,BROOKLYN,40.66867646029251,-73.97823446895156,"{'latitude': '40.66867646029251', 'longitude': '-73.97823446895156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58806958,2023-09-13T22:16:51.000,2023-09-13T22:20:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T22:21:01.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58807386,2023-09-13T22:16:35.000,2023-09-13T22:16:35.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10028,521 EAST   83 STREET,EAST   83 STREET,YORK AVENUE,EAST END AVENUE,YORK AVENUE,EAST END AVENUE,ADDRESS,NEW YORK,EAST   83 STREET,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-13T22:16:35.000,08 MANHATTAN,1015800014,MANHATTAN,998693,221159,MOBILE,Unspecified,MANHATTAN,40.77369489614297,-73.94785436813964,"{'latitude': '40.77369489614297', 'longitude': '-73.94785436813964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58801773,2023-09-13T22:16:20.000,2023-09-13T22:17:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,605 JOHNSON AVENUE,JOHNSON AVENUE,GARDNER AVENUE,SCOTT AVENUE,GARDNER AVENUE,SCOTT AVENUE,ADDRESS,BROOKLYN,JOHNSON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T22:17:29.000,01 BROOKLYN,3029890032,BROOKLYN,1005587,197686,MOBILE,Unspecified,BROOKLYN,40.709253431446825,-73.92303844131646,"{'latitude': '40.709253431446825', 'longitude': '-73.92303844131646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58803421,2023-09-13T22:15:58.000,2023-09-13T22:50:14.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11213,369 HERKIMER STREET,HERKIMER STREET,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,ADDRESS,BROOKLYN,HERKIMER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T22:50:18.000,03 BROOKLYN,3018640072,BROOKLYN,1000680,186720,PHONE,Unspecified,BROOKLYN,40.67916478150618,-73.94076450138786,"{'latitude': '40.67916478150618', 'longitude': '-73.94076450138786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
