unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58871660,2023-09-20T22:01:10.000,2023-09-21T03:58:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11356,22-24 125 STREET,125 STREET,22 AVENUE,23 AVENUE,22 AVENUE,23 AVENUE,ADDRESS,COLLEGE POINT,125 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T03:58:42.000,07 QUEENS,4042000029,QUEENS,1027637,223365,MOBILE,Unspecified,QUEENS,40.77965509731232,-73.84333960311743,"{'latitude': '40.77965509731232', 'longitude': '-73.84333960311743', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58871601,2023-09-20T22:01:01.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11206,380 WALLABOUT STREET,WALLABOUT STREET,HARRISON AVENUE,THROOP AVENUE,HARRISON AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,WALLABOUT STREET,In Progress,,,01 BROOKLYN,3022667513,BROOKLYN,998696,195086,PHONE,Unspecified,BROOKLYN,40.70213097977476,-73.94789952582114,"{'latitude': '40.70213097977476', 'longitude': '-73.94789952582114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58878175,2023-09-20T22:01:00.000,2023-10-18T16:15:09.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11206,378 WALLABOUT STREET,WALLABOUT STREET,HARRISON AVENUE,THROOP AVENUE,HARRISON AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,WALLABOUT STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-20T22:01:00.000,01 BROOKLYN,3022667513,BROOKLYN,998682,195074,PHONE,Unspecified,BROOKLYN,40.702098065437674,-73.94795004347043,"{'latitude': '40.702098065437674', 'longitude': '-73.94795004347043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58879550,2023-09-20T22:00:59.000,2023-09-21T03:21:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11235,2203 AVENUE Z,AVENUE Z,EAST   22 STREET,EAST   23 STREET,EAST   22 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,AVENUE Z,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T03:21:59.000,15 BROOKLYN,3074410447,BROOKLYN,998907,153780,PHONE,Unspecified,BROOKLYN,40.58875461155329,-73.94722828685404,"{'latitude': '40.58875461155329', 'longitude': '-73.94722828685404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58871497,2023-09-20T22:00:55.000,2023-09-20T23:20:00.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11234,AVENUE S,AVENUE S,AVENUE S,EAST   34 STREET,AVENUE S,EAST   34 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T23:20:09.000,18 BROOKLYN,,BROOKLYN,1002908,161088,PHONE,Unspecified,BROOKLYN,40.60880606826476,-73.93280272957081,"{'latitude': '40.60880606826476', 'longitude': '-73.93280272957081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58873783,2023-09-20T22:00:49.000,2023-09-20T22:50:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,957 ALDUS STREET,ALDUS STREET,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,ADDRESS,BRONX,ALDUS STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T22:50:59.000,02 BRONX,2027430055,BRONX,1014419,239183,ONLINE,Unspecified,BRONX,40.82312614383779,-73.89099560325326,"{'latitude': '40.82312614383779', 'longitude': '-73.89099560325326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58872961,2023-09-20T22:00:48.000,2023-09-21T08:40:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,64-33 ADMIRAL AVENUE,ADMIRAL AVENUE,BEND,65 STREET,BEND,65 STREET,ADDRESS,MIDDLE VILLAGE,ADMIRAL AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T08:40:55.000,05 QUEENS,4036010038,QUEENS,1012852,198665,MOBILE,Unspecified,QUEENS,40.711920049933525,-73.89682978908638,"{'latitude': '40.711920049933525', 'longitude': '-73.89682978908638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58870850,2023-09-20T22:00:35.000,2023-09-20T23:02:00.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11230,884 EAST   15 STREET,EAST   15 STREET,EAST   15 ST FOOTBRIDGE,AVENUE I,EAST   15 ST FOOTBRIDGE,AVENUE I,ADDRESS,BROOKLYN,EAST   15 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T23:02:04.000,14 BROOKLYN,3066980041,BROOKLYN,994816,168073,MOBILE,Unspecified,BROOKLYN,40.62799178404665,-73.96193534054323,"{'latitude': '40.62799178404665', 'longitude': '-73.96193534054323', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58878077,2023-09-20T22:00:27.000,2023-09-21T02:10:53.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11357,23-57 143 STREET,143 STREET,22 ROAD,25 AVENUE,22 ROAD,25 AVENUE,ADDRESS,WHITESTONE,143 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T02:10:58.000,07 QUEENS,4042490003,QUEENS,1032493,222713,PHONE,Unspecified,QUEENS,40.77784036223685,-73.82581043840055,"{'latitude': '40.77784036223685', 'longitude': '-73.82581043840055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58870903,2023-09-20T22:00:27.000,2023-09-20T22:23:00.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,44 COLUMBIA PLACE,COLUMBIA PLACE,JORALEMON STREET,STATE STREET,JORALEMON STREET,STATE STREET,ADDRESS,BROOKLYN,COLUMBIA PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T22:23:03.000,02 BROOKLYN,3002580048,BROOKLYN,984583,191663,MOBILE,Unspecified,BROOKLYN,40.692747426947165,-73.99879918211332,"{'latitude': '40.692747426947165', 'longitude': '-73.99879918211332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
