unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date
58798278,2023-09-12T21:11:12.000,2023-09-13T04:55:08.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11219,5202 14 AVENUE,14 AVENUE,52 STREET,53 STREET,52 STREET,53 STREET,ADDRESS,BROOKLYN,14 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T04:55:12.000,12 BROOKLYN,3056630035,BROOKLYN,986535,169505,PHONE,Unspecified,BROOKLYN,40.631928328276544,-73.99176766280867,"{'latitude': '40.631928328276544', 'longitude': '-73.99176766280867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58797208,2023-09-12T21:11:00.000,2023-09-14T20:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11212,,,,,ROCKAWAY AVENUE,LOTT AVENUE,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-14T20:45:00.000,16 BROOKLYN,,BROOKLYN,1009849,178996,ONLINE,Unspecified,BROOKLYN,40.65794236874543,-73.90773662250551,"{'latitude': '40.65794236874543', 'longitude': '-73.90773662250551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58794367,2023-09-12T21:11:00.000,2023-09-13T18:51:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10467,3537 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,E GUN HILL RD,E 211 ST,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-13T18:51:00.000,07 BRONX,2033280114,BRONX,1017912,260551,ONLINE,Unspecified,BRONX,40.88176227662801,-73.87826767897045,"{'latitude': '40.88176227662801', 'longitude': '-73.87826767897045', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58792981,2023-09-12T21:11:00.000,2023-09-13T03:20:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11221,91 BLEECKER STREET,BLEECKER STREET,EVERGREEN AVE,CENTRAL AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-13T03:20:00.000,04 BROOKLYN,3032960162,BROOKLYN,1006009,192427,ONLINE,Unspecified,BROOKLYN,40.694817687214616,-73.92153329967503,"{'latitude': '40.694817687214616', 'longitude': '-73.92153329967503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58795284,2023-09-12T21:10:54.000,2023-09-12T21:10:54.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11209,515 OVINGTON AVENUE,OVINGTON AVENUE,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,OVINGTON AVENUE,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-12T21:10:54.000,10 BROOKLYN,3058740084,BROOKLYN,978452,169665,PHONE,Unspecified,BROOKLYN,40.63236589160434,-74.02088901723114,"{'latitude': '40.63236589160434', 'longitude': '-74.02088901723114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58793398,2023-09-12T21:10:42.000,2023-09-12T21:27:01.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10307,298 SATTERLEE STREET,SATTERLEE STREET,HYLAN BOULEVARD,CRAIG AVENUE,HYLAN BOULEVARD,CRAIG AVENUE,ADDRESS,STATEN ISLAND,SATTERLEE STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T21:27:05.000,03 STATEN ISLAND,5078570001,STATEN ISLAND,914324,122399,ONLINE,Unspecified,STATEN ISLAND,40.50235636682173,-74.25143969756395,"{'latitude': '40.50235636682173', 'longitude': '-74.25143969756395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58796508,2023-09-12T21:10:37.000,2023-09-25T07:44:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11372,90-11 35 AVENUE,35 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,03 QUEENS,4014510032,QUEENS,1018317,213492,PHONE,Unspecified,QUEENS,40.75259712992811,-73.87704195156354,"{'latitude': '40.75259712992811', 'longitude': '-73.87704195156354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58793507,2023-09-12T21:10:29.000,2023-09-14T09:37:57.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10034,254 SEAMAN AVENUE,SEAMAN AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-14T00:00:00.000,12 MANHATTAN,1022500080,MANHATTAN,1006906,256924,PHONE,Unspecified,MANHATTAN,40.871842403487726,-73.91808105478093,"{'latitude': '40.871842403487726', 'longitude': '-73.91808105478093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58797299,2023-09-12T21:10:28.000,2023-09-12T22:45:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11004,260-23 73 AVENUE,73 AVENUE,260 STREET,263 STREET,260 STREET,263 STREET,ADDRESS,GLEN OAKS,73 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T22:45:46.000,13 QUEENS,4084470001,QUEENS,1062678,213217,ONLINE,Unspecified,QUEENS,40.751560140520674,-73.71693376806515,"{'latitude': '40.751560140520674', 'longitude': '-73.71693376806515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58789693,2023-09-12T21:10:23.000,2023-09-18T15:44:47.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11214,67 BAY   22 STREET,BAY   22 STREET,86 STREET,BENSON AVENUE,86 STREET,BENSON AVENUE,ADDRESS,BROOKLYN,BAY   22 STREET,Closed,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,2023-09-18T15:44:51.000,11 BROOKLYN,3063730022,BROOKLYN,983974,159418,ONLINE,Unspecified,BROOKLYN,40.604241898243856,-74.0009939530999,"{'latitude': '40.604241898243856', 'longitude': '-74.0009939530999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
