unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,intersection_street_1,intersection_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,incident_address,street_name,cross_street_1,cross_street_2,landmark,bbl,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58836910,2023-09-17T20:35:00.000,2023-09-19T18:30:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",11235,EAST 12 STREET,WILLIAM COURT,INTERSECTION,BROOKLYN,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T18:30:00.000,15 BROOKLYN,BROOKLYN,995901,153050,ONLINE,Unspecified,BROOKLYN,40.58675536824982,-73.95805247938588,"{'latitude': '40.58675536824982', 'longitude': '-73.95805247938588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58845077,2023-09-17T20:34:58.000,2023-09-17T20:54:28.000,NYPD,New York City Police Department,Encampment,N/A,10019,WEST   50 STREET,WEST   51 STREET,ADDRESS,NEW YORK,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-17T20:54:33.000,04 MANHATTAN,MANHATTAN,987404,217610,MOBILE,Unspecified,MANHATTAN,40.76396505017934,-73.98861432617119,"{'latitude': '40.76396505017934', 'longitude': '-73.98861432617119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,755 9 AVENUE,9 AVENUE,WEST   50 STREET,WEST   51 STREET,9 AVENUE,1010600036,,,,,,
58841978,2023-09-17T20:34:58.000,2023-09-18T14:17:15.000,DHS,Department of Homeless Services,Encampment,N/A,10019,WEST   50 STREET,WEST   51 STREET,ADDRESS,NEW YORK,,Closed,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",2023-09-18T14:17:19.000,04 MANHATTAN,MANHATTAN,987404,217610,MOBILE,Unspecified,MANHATTAN,40.76396505017934,-73.98861432617119,"{'latitude': '40.76396505017934', 'longitude': '-73.98861432617119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,755 9 AVENUE,9 AVENUE,WEST   50 STREET,WEST   51 STREET,9 AVENUE,1010600036,,,,,,
58842671,2023-09-17T20:34:50.000,2023-09-17T20:49:14.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10033,WEST  174 STREET,WEST  175 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T20:49:19.000,12 MANHATTAN,MANHATTAN,1001402,247375,MOBILE,Unspecified,MANHATTAN,40.8456456822504,-73.93800669480387,"{'latitude': '40.8456456822504', 'longitude': '-73.93800669480387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,29 WADSWORTH AVENUE,WADSWORTH AVENUE,WEST  174 STREET,WEST  175 STREET,WADSWORTH AVENUE,1021430044,,,,,,
58842439,2023-09-17T20:34:03.000,2023-09-17T21:00:45.000,NYPD,New York City Police Department,Illegal Fireworks,N/A,11232,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T21:00:50.000,07 BROOKLYN,BROOKLYN,984394,179890,PHONE,Unspecified,BROOKLYN,40.660433204123066,-73.99948097894475,"{'latitude': '40.660433204123066', 'longitude': '-73.99948097894475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,172 26 STREET,26 STREET,3 AVENUE,4 AVENUE,26 STREET,3006570027,,,,,,
58840913,2023-09-17T20:33:43.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,10019,8 AVENUE,9 AVENUE,BLOCKFACE,MANHATTAN,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-18T02:23:16.000,04 MANHATTAN,MANHATTAN,,,ONLINE,Unspecified,MANHATTAN,,,,Residential Building/House,WEST   51 STREET,WEST   51 STREET,8 AVENUE,9 AVENUE,,,,,,,,
58842261,2023-09-17T20:33:41.000,2023-09-18T01:34:30.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11378,61 STREET,GRAND AVENUE,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T01:34:35.000,05 QUEENS,QUEENS,1010740,202278,PHONE,Unspecified,QUEENS,40.72184343829103,-73.90443375528439,"{'latitude': '40.72184343829103', 'longitude': '-73.90443375528439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,61 STREET,61 STREET,61 STREET,GRAND AVENUE,,,,,,,,
58842977,2023-09-17T20:33:37.000,2023-09-18T01:41:23.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,11208,COZINE AVENUE,CRESCENT STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-18T01:41:30.000,05 BROOKLYN,BROOKLYN,1021233,180579,ONLINE,Unspecified,BROOKLYN,40.662247121158224,-73.86669802041624,"{'latitude': '40.662247121158224', 'longitude': '-73.86669802041624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,COZINE AVENUE,COZINE AVENUE,COZINE AVENUE,CRESCENT STREET,,,,,,,,
58840119,2023-09-17T20:33:16.000,2023-09-17T21:59:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10470,KEPLER AVENUE,KATONAH AVENUE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T21:59:10.000,12 BRONX,BRONX,1020155,266962,PHONE,Unspecified,BRONX,40.89934958649931,-73.87012192636172,"{'latitude': '40.89934958649931', 'longitude': '-73.87012192636172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,214 EAST  238 STREET,EAST  238 STREET,KEPLER AVENUE,KATONAH AVENUE,EAST  238 STREET,2033780015,,,,,,
58839794,2023-09-17T20:33:15.000,2023-09-18T03:03:58.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11411,120 AVENUE,FRANCIS LEWIS BOULEVARD,ADDRESS,CAMBRIA HEIGHTS,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T03:04:07.000,13 QUEENS,QUEENS,1057745,189878,MOBILE,Unspecified,QUEENS,40.68754287778567,-73.73499292266504,"{'latitude': '40.68754287778567', 'longitude': '-73.73499292266504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,120-04 229 STREET,229 STREET,120 AVENUE,FRANCIS LEWIS BOULEVARD,229 STREET,4128130029,,,,,,
